county,Name,reg_desig,esr,Cong_Dist,add,urban_rura,ck_name,f_area,Sum_POP200,Sum_HOUSEH,arc,rurilec,distressed,totalhh,pop2000,popden2000,hhpct_0401,hhpct_0501,hhpct_0601,hhpct_0701,hhpct_0801,hhpct_0807,chnghhpct,samp05,samp07,adopt05,adopt07,adptchng,awareck05,noneed05,noneed07,medhhinc,perwhite,college,unemp,medage
101,Henderson,DRA,The Owensboro - Henderson Area,Congressional District 1,Green River Area Development District,SUBURBAN,Henderson County,1.3023e+10,44222,17818,0,0,0,17818,34855,74.6,0.764,0.807,0.84,0.94,0.956,0.956,0.25,90,86,0.289,0.465,0.608,0.227,0.258,0.438,48.3,0.786,0.328,0.021,46.1
071,Floyd,Distressed ARC,The Mountain Area,Congressional District 5,Big Sandy Area Development District,RURAL,Floyd County,1.1022e+10,42441,16881,1,1,1,16881,32986,83.4,0.526,0.919,0.923,0.953,0.969,0.969,0.843,91,85,0.255,0.505,0.981,0.207,0.217,0.692,30.2,0.848,0.238,0.033,46.8
113,Jessamine,N/A,The Lexington Area,Congressional District 6,Bluegrass Area Development District,SUBURBAN,Jessamine County,4864672808,39041,13867,0,0,0,13867,31760,182,0.782,0.957,0.966,0.974,0.975,0.982,0.256,89,85,0.397,0.632,0.59,0.139,0.25,0.294,55.7,0.89,0.416,0.051,42.1
009,Barren,N/A,The Bowling Green - Hopkinsville Area,Congressional District 2,Barren River Area Development District,SMALL METRO,Barren County,1.3943e+10,38033,15346,0,1,0,15346,30421,60.8,0.589,0.932,0.952,0.972,0.98,0.98,0.665,96,85,0.41,0.696,0.695,0.185,0.404,0.452,39.3,0.915,0.118,0.03,46.2
179,Nelson,N/A,The Louisville Area,Congressional District 2,Lincoln Trail Area Development District,SUBURBAN,Nelson County,1.182e+10,37477,13953,0,0,0,13953,30072,70.9,0.657,0.707,0.734,0.829,0.84,0.84,0.278,94,85,0.175,0.341,0.949,0.179,0.165,0.231,45.9,0.839,0.23,0.052,46.5
089,Greenup,ARC,The Ashland Area,Congressional District 4,FIVCO Area Development District,SUBURBAN,"Greenup County
Greenup County",9882722297,36839,14513,1,0,0,14513,29150,82.2,0.633,0.735,0.828,0.852,0.923,0.923,0.459,87,88,0.191,0.34,0.781,0.101,0.237,0.089,40.7,0.942,0.255,0.045,47.3
035,Calloway,Distressed DRA,The Paducah - Purchase Area,Congressional District 1,Purchase Area Development District,SMALL METRO,Calloway County,1.1455e+10,34069,13818,0,1,1,13818,28571,69.5,0.898,0.926,0.935,0.935,0.958,0.959,0.067,90,86,0.43,0.597,0.388,0.217,0.336,0.199,34,0.964,0.27,0.025,42.2
083,Graves,Distressed DRA,The Paducah - Purchase Area,Congressional District 1,Purchase Area Development District,SMALL METRO,Graves County,1.5524e+10,37028,14841,0,1,1,14841,28504,51.2,0.84,0.954,0.968,0.991,0.993,0.993,0.182,90,85,0.261,0.483,0.85,0.133,0.296,0.159,38,0.858,0.206,0.053,45.3
235,Whitley,Distressed ARC,The Cumberland Area,Congressional District 5,Cumberland Valley Area Development District,SMALL METRO,Whitley County,1.2413e+10,35865,13780,1,1,1,13780,28475,64,0.614,0.649,0.666,0.712,0.782,0.784,0.277,91,85,0.17,0.314,0.843,0.21,0.451,0.164,24.3,0.9,0.225,0.023,43.9
209,Scott,N/A,The Lexington Area,Congressional District 6,Bluegrass Area Development District,SUBURBAN,Scott County,7950489298,33061,12110,0,0,0,12110,28288,99.2,0.877,0.879,0.88,0.899,0.912,0.912,0.04,88,86,0.278,0.469,0.691,0.145,0.088,0.258,49.4,0.938,0.276,0.021,40.5
211,Shelby,N/A,The Louisville Area,Congressional District 2,KIPDA Area Development District,SUBURBAN,Shelby County,1.0749e+10,33337,12104,0,0,0,12104,28121,72.9,0.694,0.815,0.815,0.882,0.963,0.988,0.423,88,84,0.179,0.264,0.47,0.214,0.217,0.092,56.4,0.922,0.28,0.029,42.9
049,Clark,ARC,The Lexington Area,Congressional District 6,Bluegrass Area Development District,SUBURBAN,Clark County,7112918730,33144,13015,0,0,0,13015,26340,103.2,0.88,0.918,0.92,0.921,0.937,0.937,0.065,88,85,0.286,0.402,0.407,0.216,0.417,0.104,47.4,0.898,0.27,0.032,43.7
177,Muhlenberg,Distressed DRA,The Owensboro - Henderson Area,Congressional District 1,Pennyrile Area Development District,SMALL METRO,Muhlenberg County,1.3365e+10,31839,12357,0,0,1,12357,24853,51.8,0.665,0.786,0.786,0.861,0.891,0.91,0.368,95,85,0.19,0.363,0.908,0.191,0.227,0.374,36.7,0.891,0.194,0.038,48.1
145,McCracken,DRA,The Paducah - Purchase Area,Congressional District 1,Purchase Area Development District,SMALL METRO,McCracken County,7477231411,65514,27736,0,1,0,27736,24604,72.3,0.983,0.992,0.992,0.992,0.997,0.997,0.015,92,85,0.241,0.402,0.672,0.23,0.222,0.235,41.8,0.883,0.309,0.02,47.5
